data_movimentacao,prediction
2023-10-01T00:00:00Z,1242212.9637859706
2023-10-02T00:00:00Z,1242787.1687865276
2023-10-03T00:00:00Z,1243361.3737870846
2023-10-04T00:00:00Z,1243935.5787876416
2023-10-05T00:00:00Z,1244509.7837881986
2023-10-06T00:00:00Z,1245083.9887887556
2023-10-07T00:00:00Z,1245658.1937893126
2023-10-08T00:00:00Z,1246232.3987898696
2023-10-09T00:00:00Z,1246806.6037904266
2023-10-10T00:00:00Z,1247380.8087909836
2023-10-11T00:00:00Z,1247955.0137915406
2023-10-12T00:00:00Z,1248529.2187920976
2023-10-13T00:00:00Z,1249103.4237926546
2023-10-14T00:00:00Z,1249677.6287932117
2023-10-15T00:00:00Z,1250251.8337937687
2023-10-16T00:00:00Z,1250826.0387943257
2023-10-17T00:00:00Z,1251400.2437948827
2023-10-18T00:00:00Z,1251974.4487954397
2023-10-19T00:00:00Z,1252548.6537959967
2023-10-20T00:00:00Z,1253122.8587965537
2023-10-21T00:00:00Z,1253697.0637971107
2023-10-22T00:00:00Z,1254271.2687976677
2023-10-23T00:00:00Z,1254845.4737982247
2023-10-24T00:00:00Z,1255419.6787987817
2023-10-25T00:00:00Z,1255993.8837993387
2023-10-26T00:00:00Z,1256568.0887998957
2023-10-27T00:00:00Z,1257142.2938004546
2023-10-28T00:00:00Z,1257716.4988010116
2023-10-29T00:00:00Z,1258290.7038015686
2023-10-30T00:00:00Z,1258864.9088021256
2023-10-31T00:00:00Z,1259439.1138026826
2023-11-01T00:00:00Z,1260013.3188032396
2023-11-02T00:00:00Z,1260587.5238037966
2023-11-03T00:00:00Z,1261161.7288043536
2023-11-04T00:00:00Z,1261735.9338049106
2023-11-05T00:00:00Z,1262310.1388054676
2023-11-06T00:00:00Z,1262884.3438060246
2023-11-07T00:00:00Z,1263458.5488065816
2023-11-08T00:00:00Z,1264032.7538071387
2023-11-09T00:00:00Z,1264606.9588076957
2023-11-10T00:00:00Z,1265181.1638082527
2023-11-11T00:00:00Z,1265755.3688088097
2023-11-12T00:00:00Z,1266329.5738093667
2023-11-13T00:00:00Z,1266903.7788099237
2023-11-14T00:00:00Z,1267477.9838104807
2023-11-15T00:00:00Z,1268052.1888110377
2023-11-16T00:00:00Z,1268626.3938115947
2023-11-17T00:00:00Z,1269200.5988121517
2023-11-18T00:00:00Z,1269774.8038127087
2023-11-19T00:00:00Z,1270349.0088132657
2023-11-20T00:00:00Z,1270923.2138138227
2023-11-21T00:00:00Z,1271497.4188143797
2023-11-22T00:00:00Z,1272071.6238149367
2023-11-23T00:00:00Z,1272645.8288154937
2023-11-24T00:00:00Z,1273220.0338160507
2023-11-25T00:00:00Z,1273794.2388166077
2023-11-26T00:00:00Z,1274368.4438171647
2023-11-27T00:00:00Z,1274942.6488177218
2023-11-28T00:00:00Z,1275516.8538182788
2023-11-29T00:00:00Z,1276091.0588188358
2023-11-30T00:00:00Z,1276665.2638193928
2023-12-01T00:00:00Z,1277239.4688199498
2023-12-02T00:00:00Z,1277813.6738205068
2023-12-03T00:00:00Z,1278387.8788210638
2023-12-04T00:00:00Z,1278962.0838216208
2023-12-05T00:00:00Z,1279536.2888221778
2023-12-06T00:00:00Z,1280110.4938227348
2023-12-07T00:00:00Z,1280684.6988232937
2023-12-08T00:00:00Z,1281258.9038238507
2023-12-09T00:00:00Z,1281833.1088244077
2023-12-10T00:00:00Z,1282407.3138249647
2023-12-11T00:00:00Z,1282981.5188255217
2023-12-12T00:00:00Z,1283555.7238260787
2023-12-13T00:00:00Z,1284129.9288266357
2023-12-14T00:00:00Z,1284704.1338271927
2023-12-15T00:00:00Z,1285278.3388277497
2023-12-16T00:00:00Z,1285852.5438283067
2023-12-17T00:00:00Z,1286426.7488288637
2023-12-18T00:00:00Z,1287000.9538294207
2023-12-19T00:00:00Z,1287575.1588299777
2023-12-20T00:00:00Z,1288149.3638305347
2023-12-21T00:00:00Z,1288723.5688310917
2023-12-22T00:00:00Z,1289297.7738316488
2023-12-23T00:00:00Z,1289871.9788322058
2023-12-24T00:00:00Z,1290446.1838327628
2023-12-25T00:00:00Z,1291020.3888333198
2023-12-26T00:00:00Z,1291594.5938338768
2023-12-27T00:00:00Z,1292168.7988344338
2023-12-28T00:00:00Z,1292743.0038349908
2023-12-29T00:00:00Z,1293317.2088355478
2023-12-30T00:00:00Z,1293891.4138361048
2023-12-31T00:00:00Z,1294465.6188366618
2024-01-01T00:00:00Z,1295039.8238372188
2024-01-02T00:00:00Z,1295614.0288377758
