data,id_cliente,faturamento_boleto,faturamento_payin,faturamento_payout,total_boleto,total_payin,total_payout
2023-10-01,1,16349.535,10986.146999999999,46509.899999999994,10899.69,36620.49,18603.96
2023-10-01,2,35043.9,23915.73,28945.175,11681.300000000001,23915.73,11578.07
2023-10-01,41,42495.630000000005,2463.468,24118.569999999996,28330.420000000002,8211.56,24118.569999999996
2023-10-01,114,0.0,6621.224000000001,3810.63,0.0,8276.53,2540.42
2023-10-01,76,17551.260000000002,11358.949999999999,35345.975000000006,5850.42,11358.949999999999,14138.390000000001
2023-10-01,91,27079.71,8451.99,42411.16,9026.57,9391.1,21205.58
2023-10-01,32,63959.049999999996,5197.86,6532.512,25583.62,17326.2,10887.52
2023-10-01,92,27827.940000000002,14353.461000000001,16324.379999999997,13913.970000000001,15948.29,10882.919999999998
2023-10-01,26,50017.26000000001,5340.26,2029.632,16672.420000000002,5340.26,3382.7200000000003
2023-10-01,52,41359.59,18497.7,49552.5,13786.529999999999,20553.0,16517.5
2023-10-01,82,18980.295,12657.815999999999,28480.59,12653.529999999999,14064.239999999998,15822.55
2023-10-01,93,33048.280000000006,14476.765,8039.912,16524.140000000003,28953.53,10049.89
2023-10-01,31,22157.204999999998,4303.152,30525.04,14771.47,14343.84,23480.8
2023-10-01,37,52629.119999999995,9505.81,7366.530000000001,17543.039999999997,19011.62,4911.02
2023-10-01,66,39433.95,4786.4400000000005,0.0,15773.58,4786.4400000000005,0.0
2023-10-01,15,5335.3949999999995,4862.4839999999995,0.0,3556.93,16208.279999999999,0.0
2023-10-01,80,5223.5,2137.902,2088.468,2611.75,7126.34,3480.7799999999997
2023-10-01,98,42959.100000000006,9653.720999999998,5699.112,14319.7,13791.029999999999,9498.52
2023-10-01,46,33366.925,4653.744,2476.4700000000003,13346.77,15512.48,825.49
2023-10-01,24,11537.49,5695.249,29964.4,7691.66,8136.07,11985.76
2023-10-01,63,76598.4,13964.472000000002,45004.21199999999,25532.799999999996,17455.59,25002.339999999997
2023-10-01,115,15337.29,5109.75,4982.745,5112.43,5677.5,3321.83
2023-10-01,59,17423.340000000004,0.0,7675.112000000001,5807.780000000001,0.0,9593.890000000001
2023-10-01,78,39803.43000000001,2470.6560000000004,3335.7539999999995,13267.810000000001,3088.32,5559.589999999999
2023-10-01,86,30092.475,9098.296,17766.774,20061.649999999998,11372.869999999999,9870.43
2023-10-01,72,874.7850000000001,5676.256,159.036,583.19,7095.32,265.06
2023-10-01,67,3726.915,23577.282,11280.048000000003,2484.61,26196.98,14100.060000000001
2023-10-01,75,17367.3,23151.8,78574.08,6946.92,23151.8,39287.04
2023-10-01,70,11988.84,7362.081999999999,30064.22,5994.42,10517.26,15032.11
2023-10-01,95,46106.6,15390.780999999995,12093.96,18442.64,21986.829999999994,8062.639999999999
