data,id_cliente,quantidade_boleto,quantidade_payout,quantidade_payin
2023-12-25,70,6,1,3
2024-01-24,20,9,9,10
2023-10-29,13,6,1,2
2023-11-08,7,4,2,8
2023-12-17,26,2,0,2
2023-10-11,66,1,5,5
2023-12-09,24,1,4,2
2024-01-15,57,3,5,3
2023-11-27,39,2,2,1
2023-12-15,47,3,0,3
2023-11-07,57,6,10,10
2023-12-11,24,1,3,4
2024-01-05,72,6,2,2
2023-12-25,56,11,12,6
2023-10-26,58,7,0,1
2024-01-05,19,5,4,7
2024-01-20,32,8,3,8
2024-01-21,60,1,1,3
2023-11-26,39,3,2,3
2023-11-26,37,5,4,3
2023-12-21,8,13,4,11
2023-11-07,39,0,3,2
2023-10-23,65,2,2,1
2023-12-05,53,4,1,3
2023-10-04,61,2,5,7
2023-12-20,58,3,1,3
2024-01-06,6,5,1,0
2023-12-21,42,10,6,9
2023-11-29,74,10,5,8
2023-11-17,31,8,4,5
2024-01-19,3,7,9,9
2023-11-15,5,7,10,10
2023-11-25,46,2,4,1
2023-11-14,53,2,3,4
2023-12-14,72,6,1,2
2023-12-07,53,6,5,1
2024-01-22,30,6,3,5
2024-01-22,21,9,7,6
2023-10-04,24,5,3,3
2023-10-31,37,10,6,2
2024-01-28,21,11,7,12
2023-11-13,76,11,8,5
2023-12-02,92,1,1,3
2024-01-07,110,4,4,1
2023-12-14,94,5,3,3
2023-12-04,90,6,3,8
2024-01-28,83,4,3,3
2023-11-09,85,5,4,4
2023-10-08,82,4,4,4
2023-12-23,93,5,7,6
2023-11-05,93,6,4,1
2023-11-25,111,10,11,4
2023-11-11,84,2,2,3
2023-11-12,89,8,9,8
2024-01-07,94,0,2,1
2023-12-11,80,0,0,1
2024-01-14,95,8,8,3
2023-11-30,76,10,7,5
2024-01-05,86,11,8,8
2023-12-31,114,7,4,1
2023-11-14,102,4,7,2
2023-11-28,101,3,5,4
2023-11-07,89,8,7,4
2023-11-09,99,0,1,1
2023-12-03,94,2,1,2
2024-01-14,85,4,7,4
2023-10-10,110,4,1,4
2023-12-06,81,6,2,2
2023-12-18,103,3,2,6
2023-10-02,79,6,6,5
2023-10-22,64,1,3,2
2023-12-16,21,6,7,3
2023-10-08,40,2,2,2
2023-12-01,18,5,3,2
2023-11-08,64,0,3,3
2023-12-06,6,2,3,1
2024-01-05,30,6,8,4
2024-01-16,26,1,2,1
2024-01-16,1,8,6,3
2023-12-11,50,9,3,9
2023-12-15,33,3,8,3
2024-01-03,33,2,1,4
2023-10-06,66,4,3,1
2023-12-23,33,2,4,1
2023-11-27,4,2,1,3
2023-10-13,32,5,9,7
2023-12-01,73,6,7,4
2023-10-05,31,6,1,4
2023-12-05,13,5,1,2
2023-12-02,70,2,2,5
2023-12-02,52,6,3,2
2023-11-16,13,2,3,6
2023-11-11,3,10,4,13
2023-11-20,22,0,2,4
2023-10-18,18,7,4,3
2023-10-03,27,5,8,4
2023-11-09,56,8,8,6
2023-10-29,43,2,5,5
2023-12-24,50,11,5,4
2023-12-28,43,2,2,2
2024-01-01,98,5,7,7
2023-12-05,85,4,10,3
2023-11-27,92,2,3,0
2023-11-21,114,1,4,4
2023-11-25,99,2,1,2
2024-01-13,77,4,8,2
2023-12-26,114,2,4,0
2024-01-08,79,10,4,5
2023-11-20,82,7,4,8
2023-12-06,107,2,2,2
2023-10-28,97,10,5,10
2023-11-03,114,2,6,4
2023-12-01,103,1,3,2
2023-10-18,86,4,5,8
2024-01-20,98,6,8,5
2024-01-23,87,4,13,6
2023-11-02,78,5,5,8
2023-10-12,114,2,7,9
2023-10-29,79,8,7,4
2024-01-04,63,12,9,18
2024-01-28,73,10,7,8
2023-10-02,16,12,7,6
2023-10-22,11,8,8,7
2024-01-16,49,5,4,4
2023-10-08,15,4,3,3
2023-12-20,61,5,12,6
2023-10-04,66,1,3,1
2024-01-11,53,3,2,5
2023-11-07,8,5,9,5
2023-12-24,24,3,4,2
2024-01-18,13,5,7,4
2024-01-30,11,8,7,5
2023-12-03,65,3,0,3
2023-12-09,33,5,2,6
2023-12-01,9,11,4,5
2023-12-24,18,2,3,2
2023-12-16,48,2,3,1
2024-01-25,5,7,13,8
2024-01-15,59,3,4,2
2023-10-13,67,6,4,6
2023-12-16,29,6,10,10
2023-11-28,1,2,5,8
2023-11-20,57,9,6,5
2024-01-15,8,8,8,7
2023-11-04,37,5,7,1
2023-12-03,14,4,5,1
2023-11-25,13,3,2,2
2023-12-29,41,10,5,2
2023-12-27,39,0,1,1
2023-11-17,52,8,8,2
2023-11-25,22,3,2,2
2023-12-13,35,0,4,4
2023-12-24,27,4,5,7
2024-01-19,57,9,11,8
2023-10-19,32,8,7,9
2024-01-01,6,0,2,2
2023-11-08,2,7,2,7
2023-11-18,40,1,3,1
2023-11-29,36,3,2,2
2023-12-30,15,1,1,4
2023-12-31,52,3,3,5
2024-01-05,83,5,3,1
2023-11-01,97,10,7,6
2023-11-30,95,6,7,4
2023-11-30,98,5,5,3
2024-01-20,79,5,6,5
2024-01-08,96,2,3,4
2023-10-22,110,2,3,2
2024-01-09,96,4,1,8
2023-11-05,83,2,1,4
2023-11-25,92,3,2,3
2023-12-12,113,7,6,7
2023-10-02,92,2,4,3
2023-10-27,78,3,4,4
2023-10-13,91,6,6,6
2023-11-28,98,4,4,0
2023-11-19,90,5,11,9
2023-10-27,75,10,4,6
2023-10-29,80,0,1,0
2024-01-29,81,4,3,1
2023-11-28,83,3,2,4
2023-10-20,79,5,3,7
2024-01-11,12,12,12,6
2024-01-11,5,5,9,8
2023-12-21,47,1,0,2
2023-11-06,18,2,3,3
2023-12-04,37,2,6,5
2023-10-02,58,2,5,5
2023-12-22,3,11,3,9
2023-12-07,54,6,5,4
2023-11-12,29,11,8,3
2023-12-07,72,3,3,3
2023-11-06,46,0,4,4
2023-11-08,43,2,0,1
2023-10-27,39,2,0,1
2023-12-24,58,7,4,7
2023-11-23,69,2,3,4
2024-01-03,16,7,6,7
2023-12-25,61,8,13,12
2024-01-28,61,10,8,8
2023-10-07,26,1,4,6
2024-01-19,47,2,1,2
2024-01-18,21,5,16,12
2023-11-01,70,3,6,5
2024-01-10,29,3,4,5
2023-10-02,21,6,8,15
2023-12-11,8,6,8,4
2024-01-24,56,8,1,5
2023-10-02,74,10,6,14
2023-11-28,24,3,2,2
2023-12-06,32,9,11,10
2023-12-18,39,2,0,1
2024-01-06,53,5,4,7
2023-10-09,19,7,6,1
2024-01-23,11,9,8,5
2023-12-28,87,7,8,7
2023-11-12,114,2,4,2
2024-01-05,84,2,6,2
2024-01-28,91,6,5,4
2023-10-12,79,0,6,6
2023-10-05,83,4,4,2
2024-01-24,80,1,0,4
2023-12-15,85,6,5,6
2023-12-09,85,10,4,6
2023-11-09,94,3,2,4
2024-01-20,92,2,4,3
2023-10-17,100,8,7,6
2023-10-17,116,4,3,5
2023-12-20,82,4,5,6
2023-10-29,86,13,7,3
2024-01-26,87,8,14,4
2023-11-17,39,2,3,2
2023-10-12,17,3,3,0
2024-01-28,26,6,1,5
2023-10-31,60,2,3,5
2023-12-12,12,5,9,9
2023-12-11,43,4,3,7
2023-12-27,50,11,6,12
2023-11-23,50,7,8,8
2024-01-28,71,9,6,4
2024-01-25,12,12,9,8
2023-11-04,59,3,4,5
2023-12-17,31,3,11,9
2023-11-28,57,5,7,6
2023-10-05,57,9,5,4
2023-10-09,11,6,6,8
2023-12-21,68,7,11,3
2023-11-05,35,6,3,2
2023-11-25,59,4,4,9
2023-12-12,14,2,4,1
2023-10-17,74,9,4,6
2023-11-28,15,4,4,0
2023-10-18,42,6,9,3
2023-11-30,22,3,0,1
2023-10-02,70,3,7,8
2023-12-31,56,7,10,10
2023-11-11,35,4,2,6
2024-01-14,50,6,6,8
2023-10-02,62,2,3,2
2023-11-15,67,3,7,4
2024-01-05,27,4,9,2
2023-10-26,65,4,4,1
2023-11-20,1,10,5,9
2024-01-07,73,9,4,8
2023-12-12,65,1,1,4
2023-10-30,8,8,13,7
2024-01-26,59,1,3,4
2023-10-15,19,6,3,9
2024-01-30,30,6,8,5
2023-12-03,46,2,3,0
2023-12-12,32,3,11,11
2024-01-19,94,1,1,2
2024-01-17,93,7,2,4
2024-01-23,85,4,7,1
2023-11-26,105,22,17,21
2023-12-19,79,6,1,12
2023-11-07,79,7,1,3
2023-10-12,102,5,11,6
2024-01-27,88,5,2,4
2024-01-27,76,5,10,11
2023-11-14,84,5,4,5
2023-12-02,93,5,2,4
2023-11-22,85,10,4,7
2024-01-14,89,4,8,8
2023-12-11,88,3,8,4
2024-01-02,98,7,5,4
2023-10-09,85,4,6,9
2023-12-09,93,2,3,2
2024-01-16,97,12,5,6
2023-12-01,95,11,9,7
2023-11-02,91,2,2,4
2023-10-15,80,1,4,2
2023-10-23,78,1,3,4
2024-01-14,24,2,4,4
2023-10-23,36,0,3,2
2024-01-20,14,3,1,3
2023-12-03,13,9,5,6
2023-11-28,19,5,7,5
2023-12-23,8,9,5,9
2023-11-23,5,9,10,3
2023-11-03,33,1,0,2
2023-11-12,47,0,4,1
2023-10-18,48,2,6,2
2023-12-26,43,5,4,1
2023-10-20,17,1,3,3
2024-01-13,58,1,0,4
2024-01-23,60,4,5,1
2023-10-14,56,8,7,9
2023-11-26,18,2,2,3
2024-01-20,38,9,10,7
2023-12-28,13,4,1,1
2023-10-03,54,4,4,14
2023-11-01,66,0,2,2
2024-01-04,4,4,0,3
2023-10-26,7,3,6,5
2024-01-18,3,7,6,4
2023-10-14,46,5,3,3
2023-11-25,54,5,3,7
2024-01-01,36,0,4,1
2024-01-10,64,2,4,2
2024-01-13,52,4,5,9
2023-10-23,59,2,0,4
